@relation sentimientos
@attribute 'text' string
@attribute 'class' {positive, neutral, negative}
@data
ALREADY LETTING YALL LADIES AND PAST WOMEN KNOW IF I TXT YOU SCORPION LYRICS I SAID WHAT I SAID WELL DRAKE SAID WHAT I WANTED TO SAY,negative
LMFAO THATS FINE   COME GET YOUR WOMAN,positive
THIS IS CRAZY WORST THING IS MOST OF THE VEGANS ATTACKING THE BUTCHERS USED TO EAT MEAT PEOPLE ARE CRAZY I SWEAR,negative
IF YOU HAVE CHANGED YOUR DIET BECAUSE YOU ARE JUMPING ON THE BANDWAGON THEN YOU ARE A DOUCHE,neutral
THATS CRAZY DID YOU MANAGE TO GET A PICTURE OF IT WHAT DID IT TASTE LIKE,negative
SMH THIS TWEET HAD ME SPINNING UNTIL I REALISED KICK OFF AINT TILL 7PM,neutral
FOR A HOT SEC HAD ME UNDER PRESSURE ASKING MYSELF HOW I MANAGED TO MISS 35 MINS OF THE MATCH,positive
UNDERRATED TWEET,neutral
NAH FAM U CANT BE MISSING OUT GET YOUR TV CATCHUP ON,negative
YH ITS CALM TO MISS A QUICK 5 MINS TBH,positive
OK THAT MAKES SENSE NOW,positive
I NEED TO PREPARE MYSELF FOR THE ENERGY ON THE TL TOMOZ.,neutral
T O N I G H T,neutral
I HAVENT EVEN HEARD IT YET BUT I KNOW FINAL FANTASY IS GONNA BE A BANGER.,neutral
IVE JUST ENTERED  FOR THE CHANCE TO WIN A FREE CA,positive
NEXT THING SHE KNEW YOU KNOW,neutral
THIS IS SO ACCURATE,positive
I DONT LIKE ALL THAT TALK. PLAY TO WIN SMH,positive
COME ON I KNOW YOU CAN DO BETTER THAN THAT,positive
KEEP UP THE PRESSURE LOVELY BIT OF SKILL FROM RASHFORD,positive
IF KANE COMES ON. TAKE VARDY OFF NOT RASHFORD,neutral
SHOUTOUT TO THE FINANCE DEPARTMENT AND THE ENGLAND SQUAD BEAUTIFUL EQUALISER 11,positive
LOL I THOUGHT IT WAS A GOAL,positive
DELPH THINKS HES ROBERTO CARLOS,neutral
HENRY,neutral
TALKING SHIT ABOUT THE TEAMS,negative
HOW MANY PLAYERS HAS BE USED AS AN EXCUSE WE NEED TO PLAY WITH MORE FINESSE AND FLAIR WHERES THE MAD SKILLS AT. KMT,positive
LISTENING TO THIS COMMENTARY AFTER THE MATCH IS WINDING ME UP EVEN MORE SMH,positive
LOVE ISLAND TWEETS TONIGHT ARE DUE TO MAKE ME CRACK UP,positive
PEOPLE REALLY COMING AT YOU THEY MUST FORGET WHAT FOOTBALL TEAM YOU SUPPORT SMH,positive
ALL U PEOPLE BEST KEEP THAT SAME ENERGY. I DONT WANNA HEAR YOUR FAKE GAS WHEN DRAKE DROPS ANOTHER CLASSIC ALBUM.,positive
EDIAT PEOPLE DEM LIKE THEY NEVER HEARD OF CONSTRUCTIVE CRITICISM BEFORE,neutral
THE MAN HIT HER WITH THE YOU NEVER KNOW AND IT HAD HER SPINNING SMH,neutral
WAIT WHAT WAS GOING OFF LAST MINUTE,neutral
OOOOOHHH  I SUPPOSE SO  NEED TO CATCH UP WITH YOU FOR  ASWELL  XXX,neutral
UNDER PREPARED AS USUAL,negative
YOU DO NOT WANT TO INSULT A HIPPOGRIFF IT MAY JUST BE THE LAST THING YOULL EVER DO EM WARNER BROS STUDIO HARRY,neutral
SOMETIMES GO CAMOONEM           BALLIE,neutral
NO WORK FOR YOUNGSTERS THAT DOESNT HELP,neutral
ANOTHER TORY FAKE PATRIOT.ARGUE ABOUT JC POLICIES AND NOT THE MAN,negative
GREAT SHOT OF THE COOL ABSIEL FROM THE TOP OF STALACTITE WALL AT CHUDLEIGH DEVON HAVING FINISHED OUR LAST ROUTE OF,positive
BOTH  AMP  THROUGH TO KNOCK OUT STAGES. WONDER IF WE WILL MEET...WILL BE AN INTERESTING NIGHT IN OUR HOUSE I,positive
OH WOW,positive
GOING TO KNOCK JOSH THE FUCK OUT AS IF YOUD LEAVE GEORGIA FOR THAT.,negative
JUST LEAVE YATES ITS DEAD AS FUCK,negative
PEN PAPER AND WHITEBOARDS IN MY SHED TODAY  PHD PROGRESS,neutral
ALL 3 DAYS,neutral
LOVELY WEATHER  SO LUCKY,positive
WELL THAT IS A VERY GOOD QUESTION ONLY YOU CAN ANSWER....SO...,positive
THIS IS WHAT MY AFTERNOON LOOKED LIKE,neutral
IT WAS SUCH A PLEASURE TO MEET YOU AND THANK YOU FOR TRAVELLING SO FAR... WE LOOK FORWARD TO,positive
HUGE THANK YOU TO,positive
WHAT DOES THIS BITCH DO EVERY SINGLE DAY THAT SHES JUST THAT BITCH.,negative
AND DONT SAY ANYTHING ABOUT THE FACT I DIDNT SAY A BEFORE AND CURRENT OPINION MY OPINION ON THIS QUEEN IS THE SA,neutral
BEFORE SHE SEEMS CUTE AND FUNNY I RELATE TO HER A LOT.NOW THE FUTURE QUEEN OF THE CENTRAL PARK ZOO SHE IS.,positive
ALL ARE THINGS THAT MAKE YOU THAT BITCH A FOREVER QUEEN.,neutral
I GUESS LEMME JOIN IN ON THIS WONDER WHAT ILL GET.,negative
AS SOON AS YOU HIT 18  BOOM... 19 HAPPENS IN THE BLINK OF AN EYE. 20 HAS BEEN LINED UP FOR YEARS AND 21 100,neutral
WHEN THE MR KNOWS YOUR NOT WELL AND BRINGS THESE HOME,neutral
WHATS YOUR BEST VIEW IN LONDON  TOWER BRIDGE,positive
ACTUALLY VICTORIA BECKHAM,neutral
THIS OLD THING. ARMANI ACTUALLY,positive
I NEARLY PASSED OUT BUT IT WAS,positive
SHEER BRILLIANCE.,neutral
DUAL EVERYTIME.,neutral
LAST NIGHT SHIFT TONIGHT. CANT WAIT  WEEKEND OFF.,neutral
BELGIUM WOULD HAVE BEEN A BETTER TRAINING OPPORTUNITY FOR OUR FIRST TEAM OPPORTUNITY MISSED MOMENTUM LOST,positive
VIEW OF THE  FIRE FROM MOUNT PLEASANT,positive
AND GROWING FAST BY THE LOOKS OF ITLOVELY VIEW OF MANC BTW,positive
HOW MANY ROUND ARE THERE,positive
WE WERE 50 UP AT HALFTIME VS PANAMA,neutral
YOOOOO IN SUCH A GOOD MOOD TODAY HOW IS EVERYONE X,positive
ONLY JUST SEEING THIS BUT MF MOOD EVERYDAY,negative
LOLOL EITHER WAY THEY LOOK LIKE THAT BOTTOM SET CLASS THAT WOULDNT TRY LMAO,positive
SEEING THIS FROM SOMEONE WE ADMIRE SO MUCH IS ALMOST AS INSANELY ENJOYABLE AS WATCHING  FILMS. THANK Y,positive
45 YEARS OF   AMAZING,positive
1966 LEGEND,neutral
COULD DO THAT IN THE FUTURE...,neutral
I KNOW  HES MAKING IT UP. PROBABLY HAS A MCDONALDS REALLY,positive
NEVER FEED THE TROLLS,neutral
ERM...I HAVE ABSOLUTELY NO IDEA. DEFINITELY A QUESTION I HAVE NEVER BEEN ASKED BEFORE ILL GIVE YOU THAT,negative
YES OR COURSE CASH IT POCKET 150 HAVE 21 EW ON THE LAST YOUVE MADE 100 AND NOT LOST ANYT,neutral
SORRY THOUGHT YOU HAD  192 CASH OUT SO HAVE 20 EW ON THE LAST.,negative
LOOKING AT YOUR BET IF IT LOSES RETURNS AROUND 70 IF IT PLACES RETURNS AROUND 95 ISH,negative
THE MAN HAS SPOKEN GOOD LUCK BOTH,positive
HOPE YOU CASHED IT BROTHER,neutral
THE TRUMP CARD  HAS JUST BEEN PLACED ON THE TABLE ...,neutral
WHAT THE FUCK GUYS NO INFO ABOUT WHATS GOING ON ON THE WEMYSS BAY LINE. DELAYS AND CANCELLATIONS LEFT AND RIGHT.,negative
I WISH THEM THE VERY BEST WITH THAT THEN,positive
MY NOSE LOOKS LIKE A STORM TROOPER FROM STAR WARS,neutral
FANTASTIC LOOKING FORWARD TO WORKING WITH YOUR PRODUCT VERY EXCITING  THANKS,positive
TRUE,positive
LOOKS DELICIOUS,positive
DO YOU NEED TO BOOK OR JUST COME  THANKS,positive
OK GREAT AND THANKS,positive
AHAHA ...AS YOU DO   SEE YOU SOON  CHEERS,neutral
TOMORROW IS A REST DAY AT THE WORLD CUP WHAT THE HELL ARE WE SUPPOSED TO DO WITH OURSELVES,neutral
ITS A GOOD EXAMPLE  ITS NOT A BAD RULE THOUGH IS IT LEAST OF OUR WORRIES,positive
IMPROMPTU CATCH UP WITH  IN THE,neutral
PIERS MORGAN DESTROYS VEGAN ACTIVIST ON LIVE TV  EPIC REACTION  VIA,positive
NO I DONT REMEMBER WHAT FUCKING HAPPENED I WASNT BORN,negative
OOOOOO SEE YOU THERE,neutral
ITVS PUNDITRY IS JUST SO POOR,negative
ITLL NEVER WORK THE BOX IS TOO EXPENSIVE BIG BROTHER IT WONT WORK ON AN AGGREGATOR   NICE TO BE PROVEN R,positive
ARNOLDS SET PIECES ARENT HAPPENING. STRUGGLING TO SEE WHAT DIER AND DELPH BRING AS MIDFIELD IS POOR. BELGIUM FULLY DESERVE THE LEAD,negative
ANOTHER CRAP CORNER FROM ARNOLD,negative
BEAUTIFUL INDEED,positive
THANK YOU,neutral
WOW  I LOVE IT,positive
JUST AMAZING GUYS KEEP SAFE,positive
HOPE ENGLAND BATTER THESE TODAY,neutral
ALEX RIDER YR7 SPIESTOBE DONT FORGET YOUR SUNCREAM,neutral
LOVE THIS,positive
DANNY ROSE IS FAR BETTER AT LEFT BACK THAN ASHLEY YOUNG APART FROM THAT NOBODY ELSE HAS COVERED THEMSELVES IN GLOR,positive
CORRECT,neutral
YES I EXPECT THATS IT.,neutral
STAY OFF THE ROADS EVERYONE  HAS PASSED HER DRIVING TEST,neutral
DRUNK DAD WILL  BE WORSE,negative
BOO JAPAN LOSING,neutral
WHAT A MISS,neutral
COULDNT IMAGINE NOT BEING MOTIVATED TO ACTUALLY DO SOMETHING WITH MY LIFE,neutral
I JUST NEED THE WORLD TO KNOW THAT ENGLAND IS SO SERIOUS ABOUT FOOTBALL THAT MY LONDON OFFICE RECEIVED A MASS EMAIL,negative
FUCK ENGLAND FOR NOT PULLING A FUCKING W AND HAVING TO FUCKING PLAY COLOMBIA NOW ME AND PAOLA ARE GONNA HAVE TO FIGHT IN THE PUB,negative
IM ACTUALLY LAUGHING WHAT A RANDOM THING,negative
THATS A GOOD GOAL,positive
HOW MANY POOR SET PIECES DOES ALEXANDERARNOLD HAVE TO TAKE BEFORE SOMEONE ELSE GETS A CHANCE,positive
HOW DID HE MISS THAT,neutral
IF I WAS RASHFORD I WOULD HAVE FELT NO WAY ABOUT PRESSING X AND LETTING VARDY SCORE THAT TAP IN,neutral
FINAL BALL IS MISSING,negative
VARDY PICKS UP SPEED SO QUICKLY. CRAZY ACCELERATION,negative
IM WAITING FOR  BUT WATCHING HUGH GRANT,neutral
THE FIRST THING JACK DID WAS SMELL DANIS UNDERWEAR,positive
IF JOSH RECOUPLES WITH KAZ HES GONNA GET CRUCIFIED ONLINE,neutral
ONLY SIZES 8 AMP 10 LEFT ONLINE IN OUR MILITARY HIGH WAISTED TROUSERSBE QUICK SHOP ONLINE,positive
NEW JERSEY CYCLING SHORTS JUST ADDED ONLINE IN  S COLLECTIONONLY 6 SHOP ONLINE,positive
LOOK AT THE BIGGER PICTURE,neutral
CURVE CAPTURING POINT OF INGESTION UNTIL NOW. NOT BAD,positive
NURSERY FURNITURE SHOPPING,neutral
WHY IS THIS SURVEY LIMITED TO NHS STAFF LOTS OF EXPERTISE THAT COULD CONTRIBUTE WHO WORK OUTSIDE OF THE NHS E.G.,negative
LOOKING FORWARD TO IT,neutral
NOPE.,neutral
WORKASIMAGINED VERSUS WORKASDISCLOSED GAP,neutral
UNLUCKY SENEGAL. GOING OUT ON YELLOW CARDS. NICE WARM UP MATCH FOR THE MAIN EVENT TONIGHT,positive
TRUST ME MY G X,neutral
TALKING 120 BAGS GIVE OR TAKE IN FIVE WEEKS FAMILY SIZE,neutral
YEP. TEENAGE DAUGHTERS TOO.,neutral
I ADMIRE MP DANIELLE ROWLEY FOR TALKING ABOUT HER PERIOD IN THE HOC TODAY. FOR ME ILLUSTRATES WHY WE NEED WOME IN P,neutral
I DONT REALLY WANT ANYONE ELSES ADVICE ON HOW TO MANAGE MY PERIOD PAIN. THANK YOU. I AM NOT FACING PERIOD POVERTY,positive
AND I KNOW ALL TOO WELL THAT YOUR 32P IBUPROFEN OR 20P PARACETAMOL WOULD HAVE SOME OF US IN A BALL ON THE FLOOR VOMITING WITH THE PAIN.,neutral
DO YOU KNOW THERE ARE TWO DIFFERENT MAIN TYPES ONE MAKES YOU SLEEPY AND ONE DOESNT,positive
YEP. CLARITYN HAVE LORATADINE NON DROWSY THE DROWSY DRUG IS CETIRIZINE HYDROCHLORIDE.,neutral
I POP ONE OF THOSE IF IM SUFFERING FROM INSOMNIA SOMETIMES.,neutral
YES. BUT NOT IF I GO TO BED LATE OTHERWISE I CAN STILL FEEL DROWSY IN THE MORNING.,negative
OHHHH. OOPS. I BETTER DELETE THAT TWEET THEN.,positive
JUST GOOGLED IT THOUGH AND IT SAYS CETIRIZINE CAN MAKE YOU SL,neutral
HAHA. I GOOGLED IT BECAUSE I WAS CONFUSED. APPARENTLY IT DOES,negative
THERE ARE BETTER THINGS FOR GETTING OFF YOUR TITS ..... OR SO IVE HEARD.,positive
COS IF THEY DONT WIN BUT DONT GET KNOCKED OUT THEY END UP IN A WEAKER GROUP FOR THE NEXT ROUND S,positive
FORGIVE ME IF I SPLAINED.,neutral
THATS GREAT NEWS.,positive
AND ME.,neutral
NOOOOOO. I WAS HOPING TO HAVE THAT AS MY BACK UP PLAN.,neutral
JONES AND CAHILL.,neutral
YOU COULD EMAIL TANYA AND ASK HER FOR A COPY OF HER PAPER  I THINK YOUD LOVE IT,positive
POOR FROM RASHFORD,negative
WESS VOICE ANNOYS ME NOW,neutral
...BUSTED X,neutral
SO 12 NEW PEOPLE ARE COMING TONIGHT AMP 1 IS JACK EX MEGAN REMEMBER WES YOU NEW FELLA WHO YOU TAKE FROM L,positive
STAGE IS READY...CROWD IS READY...ARE YOU READY,positive
HOAD MONUMENT  HOAD MONUMENT,neutral
GO ON JOSH,neutral
THANK YOU STEPHEN DEUTERS  I CAN NOT BELIEVE RS PUBLISHED THIS BIASED SARCASTIC,positive
DONT EVEN WATCH LOVE ISLAND BUT THIS STATEMENT OF YOURS IS SO TRUE,positive
I STAND FOR FREEDOM OF SPEECH. I GET EVERYONE IS ENTITLED TO THEIR OWN OPINIONS. I GET EACH SIDE CAN GO BACK AMP FORT,positive
MUJEEB UR REHMAN WAS CONVICTED IN AGAR TALA CASE.HE SHOULD HAD BEEN HANDED BECAUSE THERE IS NO PLACE FOR A,neutral
A WELL DESERVED DRINK BEFORE WE GO AXE THROWING GIVING ADAM  A PROPER SEND OFF....  CHERRY,neutral
THEY ARE LOSING THIS GAME ON PURPOSE,negative
I GIVE YOU AN ACCOUNT AND YOUR GONE AS QUICK AS GERMANY,positive
EVERYTHING THAT KILLS ME MAKES ME FEEL ALIVE,positive
WALKING IN FROM BREAK,neutral
SO MANY EEJITS IN BYKER WITH LONG SLEEVED TOPS ON AND JACKETS,positive
NOTHING,neutral
IM WATCHING ALLO ALLO WITH MY SON DOESNT GET WHY THEY ARE SAYING THEY CANT SPEAK TO EACH OTHER BECAUSE THEY D,negative
HONEST TO GOD JUST WANNA CURL UP ND CRY,positive
NA THAT JOKE WAS DEADYOUR GIRLS SLOPPY WAS DEAD,negative
LOVELY LAVENDER ...,positive
LOVELY LAVENDER. ..,positive
IM SUCH A HOARDER ITS UNBELIEVABLE EVEN THOUGH ITS JUST BEEN SAT IN MY WARDROBE FOR 4 YEARS I JUST CANT BRING,negative
DUDE IS OUT OF BREATH AFTER TWO SHOVELS OF DIRT,neutral
BE VIGILANT PEOPLE,neutral
YEP IM WITH YOU LOVE TO LIVE ON THE EDGE  ONLY EVER RUN OUT OF PETROL COMPLETELY TWICE,positive
HAPPY  ALL YOU LOT KICKING ASS OUT THERE REMEMBER TO TAKE 5 EVERY NOW AND THEN YOUVE GOT,positive
THOSE DAYS ARE SO NEEDED SOMETIMES THOUGH TREAT YOURSELF TO AN ICE CREAM AND DUST YOURSELF OFF TO,neutral
DOOGGYY FASSSHIOOON,neutral
IM AT LONDON CITY AIRPORT IN LONDON GREATER LONDON,positive
YOUR JUST LIKE ME I ALSO HAVE A GOOD CHAT TO THEM TO SEE IF T,positive
WATCHING ENGLAND VS BELGIUM.COME ON BOYSYES IM.A WOMAN THAT LOVES ALL SPORTS NOT JUST KARATE,neutral
LOL I KNOW THIS FEELING ONCE I HAD TO TURN A CHILDS PLAY HOUSE INTO A BUNNY NURSERY WHERE I ADOPTED 3 FE,positive
GUILTY AS CHARGED I DO IT TO SHAMPOO CONDITIONER HAND WASH WASHING UP LIQUID FABRIC CONDITIONER BU,negative
WHEN I USED TO HAVE PET RABBIT AND GUINEA PIGS I USED TO GO TO A FACTORY THAT WORKED WITH WOOD AND I WO,neutral
I WILL ALSO PUT MY HAND UP AND ADMIT I WAS 1 OF THOSE ANNOYING PARENTS THAT SAVED EGG BOXES AND BOXES A,negative
HUN I BOOK MINE IN A OLD SAUCEPAN WITH WASHING POWDER ITS A OLD SAUCEPAN THAT I KEEP IN,positive
TYLER AND ASHLEE SITTING IN A TREE K. I. S. S. I. N. G FIRST COMES LOVESECOND COMES MARRIAGETHIRD COM,positive
AWW CUTE,positive
LOVE YOU REALLY XX,positive
JUST ONE WORD....DISGUSTING.,neutral
YOUR NATIONAL TEAM HAS NO HONOUR.,neutral
FOOD TIME AGAIN CHICKEN AMP RICE     ALVASTON,negative
YOUVE SPOILED THE SUMMER NOW.,neutral
FINISHED MY 2ND YEAR WITH THREE DISTINCTION STARS COULDNT BE HAPPIER,neutral
CANT WAIT TO START MY COURSE,neutral
I HAVE TO BATH LEO READ HIM A BEDTIME STORY AND GET HIM TO SLEEP BY 9 SO I CAN WATCH LOVE ISLAND. SOS,positive
IF JOSH ENDS UP UPSETTING GEORGIA IM GONNA BE KNOCKIN IN CASA AMOR HAVIN WORDS,neutral
IM SO SORRY YOU HAVE HAD TO GO THROUGH THE HORRIBLE HEARTACHE OF LOSING YOUR FOUR LEGGED BEST FRI,negative
CAN YOU SEE YOURS,neutral
WARNING TO ANYONE. THIS GIN IS DELICIOUS BUT DEADLY,positive
IVE BEEN REHEARSING FOR THIS TODAY WHILST WALKING WITH THE BABBA ALONG A TOURIST FULL BOTTOM PROM IN SALTBURN  GO,positive
WOW. EXCITING NEWS. WELL DONE ON GETTING TO FINAL EDITS.,positive
THIS CAN ONLY BE A GOOD THING.,positive
THIS PLANE SMELLS LIKE BO AND HAND SANITIZER,neutral
WANDSWORTH PHILHARMONIC AMP CONCERT ORCHESTRAS ALONGSIDE MEMBERS OF  IN CONCERT AT RFH PRIOR TO,neutral
AMAZING GURRELIEDER WITH THE TOP TEAM OF   AMP  AND A MOST FAB. CAST AT,positive
CAN THIS WEEK GET ANY WORSE,negative
LOVE FOOTBALL,positive
I HAVE TO THANK  FOR PLAYING GREAT AND STOPPING ME WATCHING THE WHOLE 90 MINUTES OF THAT SHIT KEEP IT UP CHARLEY,positive
THAT COLOMBIAN CELEBRATION,neutral
GET THE YELLOW CARDS IN,neutral
THIS IS SO ANNOYING,negative
OF COURSE THE FIRST TEAM TO EVER MISS OUT ON QUALIFICATION ON YELLOW CARDS WOULD BE AN AFRICAN ONE,positive
THORGAN HAZARD EARNING HIMSELF BACK A MOVE TO CHELSEA RESERVES WITH THIS PERFORMANCE,neutral
FIRST TOUCH IMPECCABLE IN THOSE KITTEN HEELS OF HERS,positive
ROSE GOT TURNED INSIDE OUT THERE,positive
JANUZAJ IS GETTING SCOLDED IN THE DRESSING ROOM AT FULL TIME,positive
NO TRAFFIC LIGHTS AT YEADING LANE NEXT TO NOW VAUXHALL HAYES,neutral
AFRICAN TEAMS LACK SOMETHING I DUNNO WHAT IT IS,neutral
ITS COMPOSURE KMT,neutral
MANE IS FUCKING GREEDY,negative
WHAT A GOAL,neutral
MIXED RACED CURLY HAIRED BABIES,neutral
I WAS THINKING BERMONDSEY OR DEPTFORD,neutral
THANK YOU,neutral
OH JUST SUPERB,positive
YAY HES HOME,neutral
UNBELIEVABLE,negative
SEE YOU LATER STEAM RAILWAY,neutral
YOU KNOW WHAT I MEAN SASSY INIT,negative
YOU MUST BE A SERIOUS SERIOUS IDIOT IF YOU THINK LOSING THAT IS A POSITIVE. WE WERE ABSOLUTE ERIC DIER.,negative
DONT USE THE WORD LUSH VERY OFTEN BUT CANT THINK OF A BETTER DESCRIPTION FOR THIS BACKING TRACK.,positive
ENGLAND V JAPAN ANYBODY,neutral
JAPAN IN THE LAST 16 PLEASE.,neutral
SENEGAL POSSIBLY OUT ON YELLOW CARDS. BIT HARSH THAT,negative
530 KICK OFF ALL OVER THAT.,neutral
URGENT PLEA TO EVANESCENCE BRING. ME. TO. LIFE.,neutral
THIS.BBC WOULDNT STAND FOR THIS SHITE.,neutral
KANE PLEASENOW.,neutral
SAY THE SAME ABOUT RASHFORD TBH.,neutral
SOOOOOOO TRUE,positive
ORDERED A POLO SHIRT FROM WISH. TOOK 3 WEEKS TO ARRIVE FROM JAPAN. I ORDERED A MEDIUM BUT WHEN IT ARRIVED IT WAS AN,neutral
OH   WHAT HAVE YOU DONE.,neutral
IM SO ASHAMED HOW MUCH IM INTO IT.,positive
EVENING ALL THIS IS A DOODLE OF A YELLOW NECKED FIELD MOUSE APODEMUS FLAVICOLLIS FROM MY SKETCHBOOK  THESE LITT,neutral
ITS COMING HOME,neutral
WHAT THE ACTUAL FUCK IS WRONG WITH THIS COMPANY WTAF,negative
ALEX IS TOO BORING HE SHOULDNT BE ON LOVE ISLAND,negative
SEEING SHANNON LIKE THIS BREAKS MY HEART,neutral
WHAT THE HELL DOES THAT MEAN TRUMP CRITICIZES  THEN SAYS HE DOESNT UNDERSTAND WHAT HE JUST READ,negative
HERO LADY.,neutral
HES LONG GONE HE CAME BACK AFTER PANAMA. THEN LEFT WHEN GARETH BUZZKILL RESTED PLAYERS BEFORE 5 DAYS OFF,negative
I JUST THINK MOMENTUMS LOST BUT HEY ITS COMING HOME PAL. WE WONT GET A BETTER CHANCE,positive
THEY PLAY WEEK IN WEEK OUT TOGETHER THATS THE ONLY DIFFERENCE. THIS IS 7 GAMES TO,neutral
I NEED TO SEE THE VIDEO OF  FALLING OVER LAST YEAR IN CASA AMOR AGAIN,neutral
LETS GET THIS TRENDING....CAUSED YOU TO DYE YOUR HAIR RED HA HA,neutral
THAT I WOULD LOVE TO SEE,positive
OMG YES,neutral
FUN IN THE SUN   GREEK ON THE DOCKS,positive
YOU SHOULD GO AND COMMENT IF YOURE ON YOUTUBE THOUGH. I JUST MADE A FEW,negative
LOOKING GOOD,positive
LEFT HIM WITH A BOTTLE OF MALBEC....HELL BE FINE,positive
NOT LOOKING FORWARD TO GETTING ON A TRAIN WITH A LOAD OF FOOTBALL HOOLIGANS,neutral
HOPE YOU HAVE A GREAT DAY X,positive
,neutral
WE WILL MAKE SURE THESE ARMED FORCES NEEDS ARE A MAJOR ELEMENT OF OUR COMING SOON,positive
YES ALSO THE VICTIM OF AN INTERESTING AND UNPREDICTABLE TRIP INTO AND OUT OF LONDON TODAY FROM HATFIELD,positive
COME ON BELGIUM,neutral
TWITTER NEEDS AN EDIT BUTTON,neutral
COME ON ENGLAND,neutral
BELGIUM IS PLAYING WELL. GOOD TEAM.,positive
DANNY ROSE,positive
WILL DO NEXT WEEK,neutral
PLEASE  FOR  TONIGHT TO GUIDE HIM HOME. IF YOU ARE ALSO IN FACEBOOK P,neutral
TOO FOR KEMO,neutral
CAN YOU SHINE S LIGHT FOR KEMO TONIGHT TO GUIDE HIM HOME,positive
STILL MISSING PLEASE,negative
THANKYOU SO MUCH JOHN,positive
THOROUGHLY ENJOYED THE PHOTOSHOOT WITH ADIDASTENNIS AND  THIS AFTERNOON. PLEASURE WORKING WITH YOU ALL,positive
LOVE JOHN BARNES  LEGEND  NEW ORDER  WORLD IN MOTION OFFICIAL MUSIC VIDEO  VIA,positive
AMAZING JOB SHE WAS SO HAPPY WITH THEM. THANK YOU FOR SAVING MY BELATED BIRTHDAY APOLOGY,positive
LIKING THIS LINE UP,neutral
OH I SPOKE TO SOMEONE ON LIVE CHAT IN THE APP AND THEY SORTED ME WITH A CREDIT SO IM SET THANK YOU,positive
WAITING FOR THE TWEETS ENGLAND DIDNT WANT TO WIN THE GROUP ANYWAY,positive
YOULL BE NEEDING US TO USE SUBTITLES OR SIGN LANGUAGE AFTER A FEW DRINKS,negative
WE DID  THERE WAS NEVER A LULL IN THE CONVERSATION LOTS OF LAUGHTER,neutral
JUST NEED  TO SCORE NOW    LEICESTER SQUARE,neutral
AFTER THE HORSE HAS BOLTED. SPRINGS TO MIND,neutral
WHILE YOU ARE AT YOU NEED TO BRING CHARGES AGAINST MERKEL AS WELL. SHE IS JUST AS BAD,negative
DO HOPE SO HE LOOKS FABULOUS,positive
VERY INTERESTING PLACE JOHN. LIFE WAS VERY HARD BACK THEN WHEN THE MINES WERE ACTIVE. BEAUTIFUL LOCATION,positive
