@relation sentimientos
@attribute 'text' string
@attribute 'class' {positive, neutral, negative}
@data
A9 TAKE A STEP BACK. LOOK AT YOUR CIRCLE. IF IT LACKS OF DIVERSITY THEN ASK WHY DONT BE SCARED TO CHALLENGE YOUR BIAS,neutral
THIS IS A SIMILAR ISSUE IN UK WITH JOBS BEING CONCENTRATED IN LONDON  MAKES IT DIFFICULT FOR THOSE CANT AFFORD TO,negative
P.S. I ACTUALLY THINK MOST PEOPLE SHOULD JUST APPLY THIS TO THEIR DAILY LIFE,positive
I THINK ITS A MIX OF NOT KNOWING LACK OF AFFORDABILITY AND NOT MANY PEOPLE FROM MINORITY BACKGROUNDS,negative
I TOLD MY DAD I WAS GONNA BE AN INDEPENDENT WOMEN BECAUSE MEN ARE TRASH MY GUY SAID  NACNACDA IGA DAA OROD NIN SOMALI AH II KEEN,neutral
BRIGHT LIGHTS CITY LIFE I GOTTA MAKE ITTHIS IS WHERE IT GOES DOWN,positive
DOUBLE FANS AND SOME   60 PLAYING. NICE.,positive
OHHHHH SHIIIIIT,neutral
LEAVE THEM TO THEIR OWN SPORTS THE ONE THAT MELTS MY BRAIN IS THE GOBBY BLACK WOMAN ON ITN,positive
JUST SHUT UP WES,neutral
SECURE THE BAG WITH NO TRIM  INTU TRAFFORD CENTRE,positive
IM NOT A HORRIBLE PERSON. I JUST REALLY FEEL LIKE MEGANS THUMBS LOOK LIKE BIG TOES.,positive
IM NOT A HORRIBLE PERSON. I JUST FEEL LIKE MEGANS THUMB LOOKS LIKE A BIG TOE.,positive
NO SHOCK THE LADS ARE LIKE DOGS ON HEAT ONCE THEYVE SEEN A FRESH PAIR OF TITS,positive
SOUTHGATE IS A TACTICAL GENIUS. END OF.,neutral
EVER SINCE DELETING MY PRIVATE TWITTER IVE FELT SUCH A RELIEF. I ALWAYS THOUGHT IT WAS A HELPFUL WAY OF GETTING MY,neutral
IF YOU NEED TO GET YOUR THOUGHTS OR FEELINGS OUT VOCALISE THEM DONT HIDE AWAY BEHIND AN ANONYMOUS PICTURE AND SH,negative
GET PIERS MORGAN OFF MY SCREEN RIGHT NOW ITV,positive
THANK YOU QUEEN KEEPING MY FINGERS CROSSED,neutral
ADAM STOP PRETENDING TO BE UPSET,neutral
ME IN FULL FLOW TALKING THERE,positive
NICE ACTION SHOT THOUGH,positive
YUMMY,neutral
,neutral
SUNBATHING,neutral
77 OSPINA WEEKLY INJURY,neutral
BRING SARR TO THE CARPET AND BIN THAT BUM WELBECK,neutral
LOOOOL THE POLAND AND JAPAN PLAYERS WERE JUST WALKING AROUND THE PITCH AIMLESSLY,neutral
WELL BOTH TEAMS QUITE CLEARLY TRYING TO GET SECOND BELGIUM PLAYERS GETTING YELLOWS AND ENGLISH PLAYERS NOT HITTING,positive
RASHFORD HAS ONE GOOD GAME AND THE MEDIA LOVE HIM HES BANG AVERAGE,positive
IM NO EXPERT IN PROFESSIONAL FOOTBALL BUT THAT IS A POOR TEAM SELECTION.... ID BE DOING EVERYTHING TO BEAT THESE,negative
IVE JUST PUT THE ONE ON TONIGHT MATE ITS HARD TO CALL WITH BASICALLY NOTHING ON THE LINE ARE Y,negative
GOOD LAD I WOULDNT BE PUTTING TOO MUCH ON TONIGHTS MATCH LIKE WITH IT BEING A STRANGE ONE BUT BACK IT ON SATURDAY,positive
EXACTLY,positive
YOUUUUU SUUUUUUCCCCKKKKKK,negative
CLASS SOPH,neutral
CUTE,positive
AHAHAHA WHY AM I SO MAD,negative
DRINKING A SANREMO BY   HACKNEY DOWNS STUDIOS,neutral
I THINK YOU WERE WATCHING THE WRONG PROGRAMME,negative
LODGE BEER GARDEN WEATHER OBVS,neutral
KANE WOULDNT OF MISSED THAT,neutral
YES WELL HAVE AN EASIER DRAW BUT WEVE LOST ALL MOMENTUM. ID MUCH RATHER OF WON THIS GAME AND HAVE A HARDER ROUT,negative
RASHFORD YOU NARNA,neutral
BITCH,negative
WHAAAAAAAAAAAT,neutral
IM AT  IN LONDON GREATER LONDON,positive
AND REMEMBER 40 OFF CDS OF MY ALBUM BLUE  ENTER SONGLINES AT CHECKOUT,neutral
EXCITED FOR TRNSMT BUT ACTUALLY IMAGINE HOW AMAZING THE T CAMPSITE WOULD HAVE BEEN IN THIS WEATHER,positive
A DRINK ON ME WHEN WE GO OUT,neutral
FUMING,neutral
EY IM FUCKING FUMING HERE THOUGHT IT WAS COMING HOME,negative
I WAS AT THE FULL MOON IN LITTLE KINGSHILL BUCKINGHAMSHIRE,positive
BLESSED.   HERIOTWATT UNIVERSITY,positive
OFF WEDNESDAY TUESDAY TOWN  LOVELY STUFF.,positive
THAT TYGA AMP OFFSET CHUNE IS A BANGERRRRRRR,neutral
IM SO CONFUSED,negative
THIS SHOW HAS A WIDE CROSS SECTION OF PEOPLE WHO HAVE DATING ISSUES. THERE ARE SEVERAL PEOPLE WHO TAKE C,negative
WHAT ACTUALLY WAS THAT WELBECK,neutral
HE IS YOURE JUST A PSYCHO,negative
MAN HAVE YOU ACC EVER HAD ONE OR HAVE THEY ALL BEEN BOYS,neutral
GUARANTEE HES NOT KISSED HER AND HES PLAYING PASSING THE ICE.,neutral
HI THATS OK A BUS CAME NOT LONG AFTER NOT SURE WHAT HAPPENED TO ONE BEFORE I WAS A LITTLE LATE,negative
THINK TODAY SITS AT THE TOP OF THE WORST DAYS EVER IN MY PITIFUL EXISTENCE GIVE UPPPPP,negative
SOUTHGATE GOING COME OUT AT THE END AND BE LIKE WE WANTED FINISH SECOND ANYWAY,neutral
LOVE YOU,positive
WOULD OF BEEN 28 WEEKS PREGNANT THIS WEEK AND A HONESTLY DUNNO HOW A WOULD OF COPED IN THIS HEAT PROBS WOULD OF KILLED SOMEONE OFF,positive
HI IS THE AN EMAIL ADDRESS I CAN CONTACT YOU ON,neutral
DUNNO WHY A DRINK KOPPARBERG IT BLOATS ME SO MUCH,positive
THANKS IVE SENT A MESSAGE ON FACEBOOK,positive
COMES TO LONDON CURRENTLY ON DISPLAY  AND BEAUTIFUL DRAWINGS BY  AND  AS,positive
8 DIFFERENT PLAYERS MAKES QUITE A SIGNIFICANT DIFFERENCE JAMES. THE PREFERRED PLAYERS WILL COME BAC,positive
MAKES YOU REALISE HOW GOOD HENDERSON ACTUALLY IS,positive
IS A DREAM,neutral
HOW MANY WAIST COATS DOES  HAVE,positive
NEVER BEEN A FAN OF  EVERYONE HAS BEEN DOUBTING OUR FIRST GOALIE AND THEY WERE RIGHT TO.,positive
ITS A HARD LIFE BEING A GOOD BOY,positive
MATE THANK FUCK FOR THAT,negative
MORE LIKE HE HAS TO PASS IT.,positive
HAD A GREAT TIME WITH  AT HER BROTHERS WEDDING CANT BELIEVE THIS WAS NEARLY TWO WEEKS AGO NOW  ROYAL,positive
STILL WONDERING WHY  MADE SO MANY CHANGES CLEARLY THIS 11 ARENT GOING  TO DO ANYTHING LIKE WHAT THE 11 D,positive
DIDNT SEE WHAT GARY NEVILLE HAD TO SAY GAVE UP AT THE 75MIN DELPHI WONT PLAY AGAIN I KNOW THAT MUCH LOL,positive
IF THIS IS CORRECT AND NOT A HOAX IT WOULD BE UNREAL CHANGE OF PLAN BUT THE REALITY IS EVERYTHING IN,neutral
MAD HOW HARD IM WILLING TO DIETEXERCISE TO EVEN TRY GET THIS LOOK WHEN REALLY ALL I NEED IS SOME DOLLAR,negative
BIG UP THE 4 EYED SPECTACLE CLUB THO,neutral
ALL THE BEST GOOD LUCK,positive
I GET WHY WE HAVE RESTED KANE AND GIVEN OUTINGS TO FRINGE PLAYERS BUT I THINK WE WILL MISS TRIPPIERS DEAD BALL DEL,negative
NOTHING TRIGGERS ME LIKE SOMEONE WHO STICKS THEIR TOUNGE OUT WHEN DRINKING FROM A WINE GLASS,neutral
THANK YOU. IVE PURCHASED IT,neutral
WERE DELIGHTED TO ANNOUNCE THAT TODAY THE RELEASE OF LIMINAS CREATIVE  REPORT COMMISSIONED BY,positive
BIG UP MY COAUTHOR,neutral
ROSE GOT SENTTTTTTTTTTTT,positive
FALLOWFIELD,neutral
CURRENT FAVE OUTFIT  IF YOURE INTERESTED IN SEEING MORE PICS THEN MY LATEST BLOG POST ALL ABOUT MY LAST STUDENT,positive
THIS GAMES SO BORING NOBODY WANTS TO SCORE ANYWAY,negative
I FEEL SORRY FOR ALEX GENUINELY DONT THINK HE REALISED WHAT HE APPLIED FOR WHEN HE APPLIED FOR,negative
JACK YOU CANT PLAY PASS THE ICECUBE WITH A GIRLFRIEND YOURE JUST ASKING FOR AN ARGUMENT,neutral
PEOPLE ARE BARE PUSSIES FOR CHATTING SHIT ON ANON BUT WONT DARE REVEAL THEMSELVES LOLL,negative
GOOD GOAL TBF,positive
WHY RASHFORD,neutral
PRAISE THE LORD DID HE SUSTAIN ANY INJURIES X,neutral
HOPING HE IS OKAY AND NOTHING BAD HAS HAPPENED X,negative
8 CHANGES IS FAR TOO MANY. ASSUME THE THREE RETAINED WILL BE HENDERSON PICKFORD AND ONE OF LINGARDLOFTUSCHEEK,positive
IF STERLING HAS MISSED THAT PEOPLE WOULD BE DEMANDING HE NEVER PLAYED FOR ENGLAND AGAIN,neutral
WHEN YOU REALISE LOVE ISLAND ISNT ON UNTIL 915,positive
OMG NO MY LIFE IS OVER,neutral
I WENT FEEDING DUCKS LAST NIGHT THEN  A SUCKED HIS DICK,neutral
SO WEIRD HOW A COUPLE OF DAYS AGO CAN SEEM LIKE FOREVER BUT THEN YEARS AGO CAN SEEM LIKE IT WAS JUST THE OTHER DAY,negative
SAM AND SAMIRA ARE SO BORINGGGG GET OFF MY SCREEN,neutral
SO PRECIOUS,positive
GOOD LAD,positive
SHAMEENA DANCERS LOOKING FORWARD TO JOINING YOU,neutral
WHICH SLIDE DECK APPS DO YOU USE I WANT THE SLICKEST SLIDE DECK FOR A TALK I WANNA DO ABOUT REACT NATIVE,neutral
EXPERIENCE VERY MUCH MIRRORS MY OWN. IM SURE WERE NOT THE ONLY  GOVERNORS WHO HAVE FELT BEW,positive
AMP IVE BEEN LOOKING FOR SOMEONE TO PUT UP WITH MY BULLSH,neutral
OH POST MALONE,neutral
SAFE JOURNEY TO LONDON  HAPPY YOU GET TO BE WITH  SOON,positive
HELLO FRIENDSIM CLOSING THIS ACCOUNT SOON.FOLLOW  IF YOU WANT TO CONTINUE SEEING MY TWEETS,neutral
HOW CONVENIENT THE GIRLS GO TO BED AND THE BOYS GET A SECRET TEXT. FUCKOFF...,negative
STRIKER PROBABLY,neutral
STILL WAITING FOR YOU TO SIGN FOR GILLINGHAM MAN COSTING ME A FORTUNE,neutral
STILL COMING HOME,neutral
LOVE ISLAND JUST REITERATES FOR ME THE IMPORTANCE OF A TITLE. BUT ITS NOT GFBF  THEYVE GOT A POINT,positive
CANT BE A ACTING LIKE WIFE WITHOUT THE TITLE TO MATCH SORRY,negative
WHY IS THIS SO RELATABLE,neutral
NGL I THINK KEEPING THE CONFIDENCE OF THE PLAYERS UP IS THE MOST IMPORTANT THING,positive
A WEAK EFFORT FOR DAY 28 OF  BUT AS IM ONLY IN CHESTER FOR 1 DAY BEFORE A WKND IN ABER ITS BEEN A BIT,negative
I SEE YOU ON CAMILAS STORY,neutral
HAPPENS TO THE BEST OF US SAM,positive
INTELLIGENT STATEMENT THAT. WHATS YOUR LOGIC BEHIND THAT COMMENT,positive
RASHFORD MAN SMH,neutral
YES YES YES SMASH IT PAL X,neutral
HAHA THE WAY DANI PUSHED JACK OFF HIM ACTUALLY ME X,positive
IM SUPER EXCITED ABOUT MEETING YOU TOMORROW AT YOUR MAMPG BEFORE THE CONCERT DEMI. CAN I PLEASE HAVE A FOL,positive
LET THEM WIN SO WE FINISH 2ND,positive
CATCHING UP ON LOVE ISLAND AND THE THING TO HAVE DONE WAS DUMP EYAL AND ELLIE AS THEYRE STARTING TO CRACK ON WITH,positive
I SAW A LADY WITH A FUR COAT ON THIS WEEK TOO,neutral
ME TBH,neutral
U OWE ME 3 X,neutral
WHAT A CUTIE,neutral
IVE RETURNED HOME AND MY WORLD CUP WALLCHART IS AN ABSOLUTE STATE,positive
NOT TO TOOT ME OWN HORN BUT ME MAKEUP WENT ALRIGHT THAT NIGHT,positive
I SAW  AND I CAN CONFIRM THAT I AM FEELING VERY HOMOSEXUAL,positive
BEST FUCKING BE MY BOY,positive
YOURE A LIAR AND I MISS YOU.  NEXT TIME I COME HOME WE ARE DOING SOMETHING BOYO X,neutral
DOES THIS INCLUDE FANTA LIMON PRETTY SURE ITS THE ONLY REASON I GO ON HOLIDAY,positive
SOME HOME WORKOUT FROM THIS MORNING MAINLY TARGETING ABSSSSS SUPER FUN TO DO WHEN YOURE NOT FEELING THE GYM AND H,positive
ITS OKAY JUST AMERICA,positive
LOOK AT THIS CUTIE,neutral
ILL GET YOU TO SEE IT ONE DAY BEAN DONT YOU WORRY,negative
TOOK SOME LEMONADE INTO WORK AND IT WAS AMAZING HOW EXCITED THE RESIDENT WERE A LOT OF LOVE FOR SCHWEPPES LEMONADE TODAY,positive
GET KANE ON,neutral
IF THERE WAS ANY DOUBT WE SURELY GO FOR THE WIN NOW. SHOULD HAVE DONE ANYWAY BUT FORGET HOW MUCH EASIER THAT QUAR,positive
IS ACTUALLY COMING HOME,neutral
WOW DOUBLE FIGURES WELL DONE,positive
PEOPLE ARE SO FOCUSED ON STUNTING PRETENDING THEYRE HAPPY THEN ACTUALLY BEING HAPPY,positive
THIS COULD BE A REALLY BORING MATCH. NOT SURE EITHER TEAM WANTS TO WIN. NOT KEEN ON ALL THE STRATEGISING TO BE HO,negative
OH GOOD TIME FOR 45 MORE MINUTES,positive
UNITED FANS LOSING THEIR MINDS OVER ADNAN BEING SOLD IN 3 2...,neutral
PEOPLE GOING THROUGH THE SALAD BAR THE WRONG WAY WIND ME UP,negative
PACKING UP ALL MY STUFF FROM MY UNI HOUSE IS MAKING ME REALISE HOW MUCH CRAP I HAVE,negative
OFFICIALLY THE WORST 90MINS OF MY LIFE,negative
IM SO FUCKIN GASSED FOR  TOMORROW  AND MY BESTIES BDAY,neutral
ITS COMING HOME,neutral
I CANT BELIEVE YOU LIKE THIS,neutral
AFTER MONTHS OF BEING POORLY WITH MY PANCREAS AND STILL HAVING TO REVISE FOR EXAMS...THIS BITCH IS FINISHING THIS Y,negative
HOLIDAYS WILL NEVER BE THE SAME,neutral
IMRAN NEEDS HELP,neutral
JUST LOST THE WILL TO LIVE. IT TOOK ME 45 MINUTES ON LIVE CHAT TO FIND OUT HOW AND TO UPGRADE MY EMAIL MAILBOX SIZE,positive
AND THE SUPER GROUP THE WHO SHOT DOWN FROM THE MOON.,positive
ABSOLUTE CLASSIC.,positive
AT THE END OF THE DAY.,neutral
THAT CLEARLY WORKS.,positive
PLUS RS WILL SHINE IN A SPURS SGIRT AND SURELY ENHANCE HIS ENG CHANCES,positive
ON A CAVEAT BUZZING COASTER IS BACK IN THE PL PROPER GROUND,neutral
COTTAGE TYPETARD,neutral
IVE LITERALLY SPENT MY WHOLE DAY STUCK INSIDE WATCHING,positive
OH MY GOD THATS SO PRETTY,positive
I NEED TO I MANAGED TO GET THIS AMAZING PICTURE OF A PLACE LITERALLY TEN MINUTES AWAY FROM ME NOT,positive
IM SO GUTTED IM MISSING YOU ME AT SIX IN CARDIFF THIS YEAR URGH,negative
I NEED A GIG BUDDY FML,neutral
TRYING TO RESCUE A LITTLE MOTH IN THE BATHROOM WITHOUT DAMAGING ITS WINGS ... PENCIL SHAVING.,negative
TRYING TO RESCUE A LITTLE MOTH IN THE BATHROOM WITHOUT DAMAGING ITS WINGS ... PENCIL SHAVING I WAS TRYING TO RESCUE A PENCIL SHAVING.,negative
A BIG FURRY BUGGER THAT IS MORE BIRD WOULD BE LEFT AT THE MERCY OF THE CATS ... I HAVE MY LIMITS.,positive
WELL ALL BE FREE WHEN YOU LIBERATE PALESTINE AND STOP KILLING INNOCENT CIVILIANS YOU DICKHEAD. WHO DO YOU THINK YO,positive
AND THEN I GO AND SPOIL IT ALL BY SAYING SOMETHING STUPID LIKE I LIKE YOU,negative
SO PROUD OF YOU BOTH  LOVE,positive
AS IF I EVER SHAGGED SOMEONE WHO THOUGHT THEY WERE WORKING CLASS CUS THEY WENT TO UNI,neutral
STILL BLAGS MY HEAD THAT IM OFF TO A ONE DAY FESTIVAL THAT HAS A BETTER LINEUP THAN MOST FULL LENGTH FESTIVALS,positive
WHEN YOUR MUM TELLS YOU TO PUT YOUR 5 FREE BET ON ENGLAND 51,positive
BIT WORRYING HOW SHITE ENGLANDS B TEAM ACTUALLY IS,neutral
ESSENTIALLY BREXIT IS GOING REALLY WELL,positive
IM NOT COMPLETELY CONFIDENT PLAYING COLOMBIA TBH,negative
HOW CAN ANYONE BE HAPPY WE LOST  WE COULD HAVE HAD POTENTIALLY THE EASIEST TIE IN THE ROUND AGAINST JAPAN...,positive
WAS AT THE TOWN HALL EARLIER AND FOUND IT AMUSING THAT EACH PARTY REPRESENTED IN REDBRIDGE HAS ITS OWN WIFI,positive
THATS WHY MOST OF US DONT SUPPORT ENGLAND,positive
CANCELS HOLIDAY,neutral
NA IVE SEEN CUTE ALEX TONIGHT AND I LIKE HIM AGAIN,positive
NA I CANT FUCKING TAKE IT ANYMORE IM GOING TO KILL MYSELF IF I HAVE TO WATCH TRENT ALEXANDERARNOLD ATTEMPT TO KI,negative
HEY THERE I WAS SUPER IMPRESSED BY YOUR WUNTU OFFER FOR FREE BREWDOG BUT MY APP DOESNT SEEM TO HAVE THE,positive
LOVE WHEN PEOPLE GET KICKED OUT OF  AND THEY ALWAYS TAKE THEIR WATER BOTTLES WITH THEM. GOOD ON THEM SA,positive
IM SO EXCITED FOR LOVE ISLAND TONIGHT,positive
CANNOT SEE ONE ABOVE A 610,neutral
OH GOD I DONT KNOW WHOS FANDOM IS MORE GRASPING AND PATHETIC REMAKE THE LAST JEDI STAR WARS GEEKS OR ELON MUSK D,negative
CHARLIE WAKEFIELD I THINK I SAW HIM ON A PICTURE OR TWO,neutral
TALBOT COULD BE A  FOR ALL OF THE ABOVE,neutral
ANOTHER GREEDY SCUM BAG TORY,negative
DO IT BUT TORIES WONT CARE,neutral
EXACTLY,positive
NOT SURPRISED AT ALL,negative
IT IS GOING BACK AND IT PICKING UP PACE NOW,neutral
ALL THE MONEY AJ HAS AND HE HAS TO MORE BY SELLING SUGER ALL THE YOUNG KIDS THAT WILL DRINK IT NO WONDER THEY FAT,positive
PRAYERS DONT DO ANYTHING BUT BANNING GUNS WILL,neutral
YEP CAMERON IS A TWAT FROM A LONG LINE OF TWATS,negative
THIS JAPAN VS POLAND GAME IS A JOKE,negative
HOW BAD WAS ERIC DIER TONIGHT,negative
IM HARD,negative
MOBILE AND 12 2PS WASNT IT,neutral
LEE DIXON TALKS FUCKING SHITE. JUST MAKES STUFF UP SO HE HAS SOMETHING TO SAY,negative
GARY NEVILLE HIS FEET WHERE OFF THE GROUND WHEN HE WAS JUMPING CHEERS FELLA,neutral
MLANGE YOUTH NETWORKING BRUNCH21ST JULY AKNAC HALL TRASACCO VALLEY  ACCRADONT MISS THIS GREAT OPPORTUNITY,positive
IM BACK FROM THE VETS AND I THINK ITS GOING TO BE A WHISKY  AND ICE,neutral
AND BTW IRN BRU ISNT JUST ANYTHING ITS OUR 2ND NATIONAL DRINK.,neutral
POUR IT OVER ICE DONT BREATH IT IN AND DONT GET IT ON THE FURNITURE,neutral
THATS A FISH SUPPER  HERE. LOOKING FORWARD TO THIS GAME TONIGHT AND I DONT HAVE TO GET,negative
SURELY NOT FROM OUR FANS FUCK SAKE WHY DONT PEOPLE THINK BEFORE OPENING THEIR STUPID RABID MOUTHS,negative
BUT THEY ARE ALL BIG BOYS ITS LIKE LETTING YOUR KIDS GO OUT TO PLAY YOU HAVE TO OR YOU HARM THEM.,neutral
PURE SHIT.,positive
ID GO WITH THAT.,neutral
TWAT SUMS IT UP NICELY.,positive
NEW SINGLE SOLITUDE IS OUT TOMORROW.PRE SAVE IT ON SPOTIFY WITH THE LINK IN BIO.,positive
TOO MANY PEOPLE IN THIS LIFE ARE TEMPERAMENTAL GUARD YOUR MENTAL HEALTH AND WHO YOU GET CLOSE TO,positive
NEXT STOP  PARIS,neutral
LOOKS LIKE MOST OF OUR WEEKENDS ARE STARTING HERE WITH THE FOOTBALL ON TONIGHTSATURDAY,positive
THAT AINT THE SAME BIKINI HAHAHA,positive
THANK YOU LOVELY XXX,positive
DICK,neutral
WORDS OF WISDOM FROM,neutral
SORRY 7PM,negative
BET YOU WISH YOU COULD PULL AS MANY BIRDS AS ALIA,positive
I DO TOO D,neutral
I VOTED FOR MYSELF ITS FINE,positive
ACCORDING TO YOU I AM,neutral
IVE GOT MORE FOLLOWERS THAN YOU SHUT IT,positive
RIGHT THEN,positive
BET YOUR FEED IS DEAD THEN,negative
PROUD OF U,positive
DONT MIND ME JUST FELL DOWN THE STAIRS BUT YOU CARRY ON WALKING OVER ME  MAN DOWN X,negative
ANYONE ELSES BIRD COME IN ALL NICEY NICE FOR A CUDDLE AND THEN FARTS ON YOU,positive
NEED A PINT OF STELLA,neutral
IM DRINKING NOW,neutral
SNEAKING OUT OF YOUR CHILDS ROOM WHEN THEY ARE FINALLY ASLEEP IS RISKY BUSINESS,neutral
YES ALEX BECAUSE ON LOVE ISLAND THE BIG SECRET TRIP IS DEFINITELY GOING TO BE.. FISHING,positive
TIME WONDER IF MILO WILL TELL HOLLY ABOUT CINDY AND DAMON,neutral
IT AINT ME BY  AND  IS ONE OF MY FAVOURITE SONGS OF ALL TIMES,neutral
I WANNA HOLD YOU WHEN IM NOT SUPPOSED TOWHEN IM LYING CLOSE TO SOMEONE ELSEYOURE STUCK IN MY HEAD AND I CANT GET YOU OUT OF IT,neutral
YOU ONLY LOVE XANDU. ADMIT IT.,positive
THE  TWITTER IS BASICALLY A XANADU FAN ACCOUNT.,neutral
I DOFF MY CAP.,neutral
LOOOOOOOL MAAAAD,neutral
THAT FEELING THOUGH,neutral
BELGIUM OR CROATIA TO WIN THE WCPLEASE TAKE A SCREENSHOT 28TH JUNE 2018,positive
ARE THE STERLING HATE BRIGADE GONNA GO AFTER RASHFORD FOR MISSING THESE SITTERS,negative
HOW FAR WILL  GET,positive
YES PLEASE      REDCAR,neutral
ARE YOU SITTING COMFORTABLY THEN WELL BEGIN  BLACK WIDOW IN  PHOTO BY FETISH TOOL,positive
SOZ BUT I CANT HELP BUT LOVE LOVE ISLAND,positive
SERIOUSLY THOUGH CAN WE DO SOMETHING ABOUT TIME WASTING IN FOOTBALL ITS BORDERLINE CHEATING. PLAYERS FEIGNING IN,negative
IM AWARE THAT ALL TEAMS ARE GUILTY OF IT AT ONE TIME OR ANOTHER. HOWEVER ITS EXTREMELY FRUSTRATING AS A VIEWER O,negative
CAN WE HAVE  TV COVERAGE BACK PLEASE. ITV SEEMS SO EMPTY CRAMMING THE ADS IN. THEYRE HOSTING THE RO16 TO,negative
WERE GNA HAVE TO,neutral
LEAST WE KNOW UR WAYS NOW,negative
ISNT THIS FROM FIGHT CLUB,neutral
ILL TELL YOU WHAT IVE WORKED IN A LOT WORSE PLACES       H,negative
ALEX WANTING TO GO FISHING AND RUNNING AROUND USING HIS HANDS AS A GUN HAHAHAHA,positive
LAURA IS BEING SO GROWN UP ABOUT MEG AND WES,neutral
ONE FINGER WITH A GENTLE UP AND DOWN MOTION UNDER THE CHIN. AND DONT LOOK AT ME.,positive
THIS IS MY NEW FAVOURITE THING,positive
PLEASE PLAY THIS SUNDAY,neutral
WHAT. A. GOAL.,neutral
LOOOOOL HE KICKED THE BALL IN HIS OWN FACE,positive
FEEL LIKE ENGLAND WOULD HAVE A BETTER CHANCE AGAINST COLOMBIA TBH,positive
LOOOL ADAM ISNT GOING ANYWHERE,neutral
HIS LIFE ITS BEEN A WEEK ALLOW IT,neutral
WES IS JUST TRYNA DEFEND WHY THEY DIDNT PICK MEGAN,neutral
DID THIS MAN CHILD JUST SAY FISHING,neutral
